id,risk,year,x,y,risk_renamed,category
1,Proliferation of orbital debris,2012,2.991,2.529,Proliferation of orbital debris,Technological
2,Failure of intellectual property regime,2012,3.024,2.734,Failure of intellectual property regime,Technological
3,Unforeseen negative consequences of regulation,2012,3.04,2.769,Unforeseen negative consequences of regulation,Economic
4,Militarization of space,2012,2.651,2.894,Militarization of space,Geopolitical
5,Unintended consequences of nanotechnology,2012,2.67,2.908,Unforeseen consequencesof nanotechnology,Technological
6,Vulnerability to geomagnetic storms,2012,2.744,2.935,Vulnerability to geomagnetic storms,Environmental
7,Ineffective drug policies,2012,3.24,2.918,Ineffective illicit drug policies,Societal
8,Unilateral resource nationalization,2012,3.151,3.009,Unilateral resource nationalization,Geopolitical
9,Widespread illicit trade,2012,3.373,3.038,Illicit trade,Economic
10,Species overexploitation,2012,3.524,3.059,Species overexploitation,Environmental
11,Unintended consequences of climate change mitigation,2012,2.792,3.047,Unforeseen consequences of climate-change mitigation,Technological
12,Unintended consequences of new lifescience technologies,2012,2.78,3.068,Unforeseen consequences of new life science technologies,Technological
13,Hard landing of an emerging economy,2012,3.064,3.117,Hard landing of an emerging economy,Economic
14,Backlash against globalization,2012,3.135,3.096,Backlash against globalization,Societal
15,Massive digital misinformation,2012,3.187,3.136,Massive digital misinformation,Technological
16,Entrenched organized crime,2012,3.465,3.219,Entrenched organized crime,Geopolitical
17,Mismanaged urbanization,2012,3.643,3.243,Failure of urban planning,Societal
18,Massive incident of data fraud or theft,2012,3.395,3.224,Data fraud or theft,Technological
19,Mineral resource supply vulnerability,2012,3.268,3.225,Mineral resource supply vulnerability,Technological
20,Rising rates of chronic disease,2012,3.284,3.247,Rising rates of chronic disease,Societal
21,Unmanaged migration,2012,3.271,3.274,Unmanaged migration,Societal
22,Prolonged infrastructure neglect,2012,3.318,3.262,Prolonged infrastructure neglect,Economic
23,Mismanagement of population ageing,2012,3.424,3.362,Mismanagement of population ageing,Societal
24,Chronic labour market imbalances,2012,3.41,3.357,Chronic labour market imbalances,Economic
25,Pervasive entrenched corruption,2012,3.709,3.405,Pervasive entrenched corruption,Geopolitical
26,Critical fragile states,2012,3.685,3.438,Critical fragile states,Geopolitical
27,Cyberattacks,2012,3.803,3.448,Cyberattacks,Technological
28,Land and waterway use mismanagement,2012,3.599,3.465,Land and waterway use mismanagement,Environmental
29,Antibiotic-resistant bacteria,2012,3.514,3.473,Antibiotic-resistant bacteria,Societal
30,Persistent extreme weather,2012,3.397,3.464,Persistent extreme weather,Environmental
31,Irremediable pollution,2012,3.259,3.482,Irremediable pollution,Environmental
32,Unprecedented geophysical destruction,2012,2.853,3.39,Unprecedented geophysical destruction,Environmental
33,Unmanageable inflation or deflation,2012,2.821,3.447,Unmanageable inflation or deflation,Economic
34,Vulnerability to pandemics,2012,3.149,3.511,Vulnerability to pandemics,Societal
35,Rising religious fanaticism,2012,3.272,3.51,Rising religious fanaticism,Societal
36,Unsustainable population growth,2012,3.04,3.551,Unsustainable population growth,Societal
37,Failure of diplomatic conflict resolution,2012,3.373,3.513,Failure of diplomatic conflict resolution,Geopolitical
38,Rising greenhouse gas emissions,2012,3.886,3.622,Rising greenhouse gas emissions,Environmental
39,Failure of climate change adaptation,2012,3.613,3.596,Failure of climate-change mitigation and adaptation,Environmental
40,Recurring liquidity crises,2012,3.491,3.614,Recurring liquidity crises,Economic
41,Terrorism,2012,3.592,3.666,Terrorist attacks,Geopolitical
42,Severe income disparity,2012,4.037,3.738,Severe income disparity,Economic
43,Chronic fiscal imbalances,2012,4.031,3.868,Chronic fiscal imbalances,Economic
44,Water supply crises,2012,3.79,3.988,Water crises,Societal
45,Extreme volatility in energy and agriculture prices,2012,3.63,3.81,Extreme volatility in energy and agriculture prices,Economic
46,Food shortage crises,2012,3.583,3.925,Food crises,Societal
47,Major systemic financial failure,2012,3.14,4.076,Major systemic financial failure,Economic
48,Diffusion of weapons of mass destruction,2012,2.877,3.783,Diffusion of weapons of mass destruction,Geopolitical
49,Critical systems failure,2012,2.932,3.675,Critical systems failure,Technological
50,Global governance failure,2012,3.325,3.72,Failure of regional or global governance,Geopolitical
51,Proliferation of orbital debris,2013,2.864,2.796,Proliferation of orbital debris,Technological
52,Unforeseen consequencesof nanotechnology,2013,2.794,2.99,Unforeseen consequencesof nanotechnology,Technological
53,Failure of intellectual property regime,2013,2.999,2.991,Failure of intellectual property regime,Technological
54,Widespread illicit trade,2013,3.43,3.028,Illicit trade,Economic
55,Ineffective illicit drug policies,2013,3.414,3.034,Ineffective illicit drug policies,Societal
56,Vulnerability to geomagnetic storms,2013,2.592,3.157,Vulnerability to geomagnetic storms,Environmental
57,Militarization of space,2013,2.808,3.161,Militarization of space,Geopolitical
58,Unforeseen negative consequences of regulation,2013,3.308,3.181,Unforeseen negative consequences of regulation,Economic
59,Prolonged infrastructure neglect,2013,3.317,3.186,Prolonged infrastructure neglect,Economic
60,Entrenched organized crime,2013,3.46,3.209,Entrenched organized crime,Geopolitical
61,Massive incident of data fraud or theft,2013,3.514,3.273,Data fraud or theft,Technological
62,Massive digital misinformation,2013,3.36,3.245,Massive digital misinformation,Technological
63,Rising rates of chronic disease,2013,3.434,3.345,Rising rates of chronic disease,Societal
64,Unforeseen consequences of climate-change mitigation,2013,3.225,3.352,Unforeseen consequences of climate-change mitigation,Technological
65,Unprecedented geophysical destruction,2013,3.176,3.334,Unprecedented geophysical destruction,Environmental
66,Backlash against globalization,2013,3.142,3.339,Backlash against globalization,Societal
67,Unforeseen consequences of new life science technologies,2013,3.114,3.357,Unforeseen consequences of new life science technologies,Technological
68,Species overexploitation,2013,3.679,3.356,Species overexploitation,Environmental
69,Mismanaged urbanization,2013,3.69,3.385,Failure of urban planning,Societal
70,Unmanaged migration,2013,3.421,3.39,Unmanaged migration,Societal
71,Unilateral resource nationalization,2013,3.347,3.403,Unilateral resource nationalization,Geopolitical
72,Mineral resource supply vulnerability,2013,3.42,3.451,Mineral resource supply vulnerability,Technological
73,Pervasive entrenched corruption,2013,3.742,3.469,Pervasive entrenched corruption,Geopolitical
74,Cyberattacks,2013,3.822,3.514,Cyberattacks,Technological
75,Land and waterway use mismanagement,2013,3.608,3.57,Land and waterway use mismanagement,Environmental
76,Hard landing of an emerging economy,2013,3.462,3.491,Hard landing of an emerging economy,Economic
77,Critical fragile states,2013,3.379,3.533,Critical fragile states,Geopolitical
78,Antibiotic-resistant bacteria,2013,3.418,3.567,Antibiotic-resistant bacteria,Societal
79,Unmanageable inflation or deflation,2013,3.18,3.569,Unmanageable inflation or deflation,Economic
80,Critical systems failure,2013,2.962,3.616,Critical systems failure,Technological
81,Irremediable pollution,2013,3.347,3.651,Irremediable pollution,Environmental
82,Recurring liquidity crises,2013,3.358,3.657,Recurring liquidity crises,Economic
83,Terrorism,2013,3.639,3.587,Terrorist attacks,Geopolitical
84,Rising religious fanaticism,2013,3.658,3.639,Rising religious fanaticism,Societal
85,Persistent extreme weather,2013,3.698,3.651,Persistent extreme weather,Environmental
86,Mismanagement of population ageing,2013,3.829,3.666,Mismanagement of population ageing,Societal
87,Failure of diplomatic conflict resolution,2013,3.58,3.691,Failure of diplomatic conflict resolution,Geopolitical
88,Unsustainable population growth,2013,3.448,3.705,Unsustainable population growth,Societal
89,Chronic labour market imbalances,2013,3.682,3.732,Chronic labour market imbalances,Economic
90,Severe income disparity,2013,4.221,3.803,Severe income disparity,Economic
91,Global governance failure,2013,3.694,3.789,Failure of regional or global governance,Geopolitical
92,Food shortage crises,2013,3.598,3.827,Food crises,Societal
93,Extreme volatility in energy and agriculture prices,2013,3.713,3.878,Extreme volatility in energy and agriculture prices,Economic
94,Failure of climate change adaptation,2013,3.763,3.898,Failure of climate-change mitigation and adaptation,Environmental
95,Rising greenhouse gas emissions,2013,3.938,3.881,Rising greenhouse gas emissions,Environmental
96,Chronic fiscal imbalances,2013,3.967,3.97,Chronic fiscal imbalances,Economic
97,Water supply crises,2013,3.849,3.984,Water crises,Societal
98,Diffusion of weapons of mass destruction,2013,3.226,3.915,Diffusion of weapons of mass destruction,Geopolitical
99,Major systemic financial failure,2013,3.44,4.043,Major systemic financial failure,Economic
100,Vulnerability to pandemics,2013,3.2,3.601,Vulnerability to pandemics,Societal
101,Organized crime and illicit trade,2014,3.799,3.882,Organized crime and illicit trade,Geopolitical
102,Chronic diseases,2014,3.385,4.015,Chronic diseases,Societal
103,Mismanaged urbanization,2014,4.721,3.998,Failure of urban planning,Societal
104,Decline of importance of US dollar,2014,3.794,3.978,Decline of importance of US dollar,Economic
105,Failure of critical infrastructure,2014,3.822,4.12,Failure of critical infrastructure,Economic
106,Corruption,2014,4.288,4.124,Corruption,Geopolitical
107,Economic and resource nationalization,2014,4.127,4.171,Economic and resource nationalization,Geopolitical
108,Interstate conflict,2014,4.511,4.352,Interstate conflict,Geopolitical
109,Oil price shock,2014,3.563,4.39,Oil price shock,Economic
110,State collapse,2014,3.545,4.428,State collapse or crisis,Geopolitical
111,Terrorist attacks,2014,4.124,4.442,Terrorist attacks,Geopolitical
112,Liquidity crises,2014,3.876,4.498,Liquidity crises,Economic
113,Man-made environmental catastrophes,2014,4.503,4.453,Man-made environmentaldisasters,Environmental
114,Data fraud or theft,2014,4.894,4.476,Data fraud or theft,Technological
115,Antibiotic-resistant bacteria,2014,4.513,4.518,Antibiotic-resistant bacteria,Societal
116,Natural catastrophes,2014,4.535,4.562,Natural disasters,Environmental
117,Food crises,2014,4.375,4.59,Food crises,Societal
118,Pandemic,2014,3.773,4.656,Vulnerability to pandemics,Societal
119,Weapons of mass destruction,2014,3.147,4.747,Weapons of mass destruction,Geopolitical
120,Global governance failure,2014,4.065,4.699,Failure of regional or global governance,Geopolitical
121,Political and social instability,2014,4.213,4.755,Political and social instability,Societal
122,Failure of financial mechanism or institution,2014,4.265,4.752,Failure of financial mechanism or institution,Economic
123,Cyberattacks,2014,4.902,4.81,Cyberattacks,Technological
124,Income disparity,2014,5.445,4.823,Income disparity,Societal
125,Extreme weather events,2014,5.392,4.89,Extreme weather events,Environmental
126,Biodiversity loss and ecosystem collapse,2014,4.432,4.859,Biodiversity loss and ecosystem collapse,Environmental
127,Critical information infrastructure breakdown,2014,3.827,4.9,Critical information infrastructure breakdown,Technological
128,Water crises,2014,4.801,5.09,Water crises,Societal
129,Fiscal crises,2014,4.648,5.15,Fiscal crises,Economic
130,Climate change,2014,4.985,5.11,Climate change,Environmental
131,Unemployment or underemployment,2014,5.119,5.041,Unemployment or underemployment,Economic
132,Failure of urban planning,2015,4.709,3.793,Failure of urban planning,Societal
133,Man-made environmental catastophes,2015,5.058,4.246,Man-made environmental disasters,Environmental
134,Failure of critical infrastructure,2015,4.258,4.297,Failure of critical infrastructure,Economic
135,Deflation,2015,4.302,4.332,Deflation,Economic
136,Unmanageable inflation,2015,3.486,4.411,Unmanageable inflation,Economic
137,Failure of urban planning,2015,4.711,3.793,Failure of urban planning,Societal
138,Natural catastrophes,2015,5.314,4.355,Natural disasters,Environmental
